Year,Make,Model,Trim,Price,Mileage
2023,Kia,Sportage,EX 4dr SUV,27590.0,5876.0
2024,Nissan,Altima,2.5 SV Sedan,20899.0,18858.0
2024,Chevrolet,Malibu,1LT Sedan,19999.0,22544.0
2020,Dodge,Grand Caravan,SXT Passenger Minivan,13999.0,94366.0
2024,Ford,Escape,ST-Line 4dr SUV,22990.0,20417.0
2024,Chevrolet,Malibu,1LT Sedan,19999.0,20128.0
2020,MINI,Countryman,Cooper S Wagon,19990.0,54890.0
2023,Ford,Edge,ST-Line 4dr SUV,20590.0,37820.0
2023,Ford,F-150,Lariat SuperCrew,52590.0,10262.0
2019,BMW,2 Series,230i xDrive Convertible,25590.0,51679.0
2024,Dodge,Durango,SXT 4dr SUV,29590.0,17152.0
2024,Ford,Escape,Active 4dr SUV,21990.0,17745.0
2021,Chevrolet,Malibu,LT Sedan,16699.0,65424.0
2023,Cadillac,CT5,Premium Luxury Sedan,31590.0,21159.0
2021,Nissan,Versa,SV Sedan,15199.0,68642.0
2022,Ford,Edge,ST-Line 4dr SUV,18590.0,63194.0
2024,Mercedes-Benz,GLC-Class,GLC 300 4MATIC 4dr SUV,39590.0,13466.0
2020,Porsche,Macan,Base 4dr SUV,39990.0,20597.0
2024,GMC,Terrain,SLT 4dr SUV,25990.0,14751.0
2023,Mercedes-Benz,EQE,EQE 500 4MATIC Sedan,51990.0,6449.0
2024,Mercedes-Benz,GLS-Class,GLS 450 4MATIC 4dr SUV,76990.0,7985.0
2022,Dodge,Challenger,R/T Coupe,27000.0,24917.0
2019,Ram,,Limited Mega Cab,43900.0,69526.0
2022,Certified,Toyota Camry,SE Sedan,22498.0,54229.0
2022,Certified,Toyota Tacoma,TRD Off Road Double Cab,37998.0,35002.0
2022,Certified,Toyota Corolla,LE Sedan,17385.0,59014.0
2022,Certified,Toyota Camry,SE Sedan,22499.0,49865.0
2022,Certified,Toyota RAV4,XLE 4dr SUV,24452.0,57579.0
2023,Certified,Chevrolet Tahoe,High Country 4dr SUV,57500.0,57682.0
2025,Ram,,Rebel Crew Cab,54400.0,2937.0
2024,Chevrolet,Silverado 2500HD,LT Crew Cab,56500.0,14153.0
2020,Chevrolet,Colorado,LT Crew Cab,21500.0,111667.0
2022,Chevrolet,Silverado  Limited,Custom Crew Cab,28995.0,44775.0
2019,Mercedes-Benz,Sprinter,"2500 170"" WB Crew Diesel Passenger Van w/High Roof",29990.0,32142.0
2013,Dodge,Grand Caravan,SE Passenger Minivan,9485.0,74752.0
2025,Chevrolet,Silverado,Custom Crew Cab,35608.0,5178.0
2019,Cadillac,Escalade ESV,Base 4dr SUV,25238.0,87327.0
2007,Ford,Escape,XLT 4dr SUV,3999.0,146110.0
2019,Tesla,Model S,75D Sedan w/Prod. End 1/19,27789.0,52029.0
2020,Maserati,Ghibli,S Sedan,32889.0,6317.0
2022,Ford,F-150,XLT SuperCab,31492.0,26317.0
2020,Audi,A6,Prestige Sedan w/55 TFSI,27700.0,58543.0
